,game_id,home_team,away_team
717,717,Idaho,Utah State
718,718,Louisiana Monroe,Florida International
719,719,Washington State,Utah
720,720,Air Force,UNLV
721,721,North Texas,Western Kentucky
722,722,Tennessee,Vanderbilt
723,723,East Carolina,UCF
724,724,Ole Miss,LSU
725,725,UCLA,Colorado
726,726,Florida State,Virginia
727,727,Texas,Kansas State
728,728,San Diego State,Boise State
729,729,Baylor,Oklahoma
730,730,Oregon,USC
731,731,Arizona State,Arizona
732,732,BYU,New Mexico State
733,733,Stanford,California
734,734,Hawai'i,Fresno State
735,735,Ohio,Miami (OH)
736,736,Texas A&M,Texas
737,737,South Florida,Louisville
738,738,Northern Illinois,Eastern Michigan
739,739,Temple,Kent State
740,740,Buffalo,Bowling Green
741,741,Nebraska,Iowa
742,742,Tulsa,Houston
743,743,Western Michigan,Akron
744,744,Ball State,Toledo
745,745,LSU,Arkansas
746,746,Utah,Colorado
747,747,Miami,Boston College
748,748,UCF,UTEP
749,749,West Virginia,Pittsburgh
750,750,Arizona State,California
751,751,Michigan,Ohio State
752,752,Oklahoma,Iowa State
753,753,Georgia Tech,Georgia
754,754,Northwestern,Michigan State
755,755,Connecticut,Rutgers
756,756,Syracuse,Cincinnati
757,757,SMU,Rice
758,758,Kentucky,Tennessee
759,759,Western Kentucky,Troy
760,760,NC State,Maryland
761,761,Utah State,Nevada
762,762,Boise State,Wyoming
763,763,Indiana,Purdue
764,764,Minnesota,Illinois
765,765,Middle Tennessee,Florida International
766,766,Kansas,Missouri
767,767,North Carolina,Duke
768,768,Marshall,East Carolina
769,769,Wake Forest,Vanderbilt
